Accident_ID,Date,Day_of_Week,Time,City,Vehicle_Type,Road_Condition,Weather,Light_Condition,Cause,Accident_Severity
91,04-01-2023 18:00,Tuesday,Morning,Mumbai,Truck,Wet,Rainy,Daylight,Wrong Turn,Serious
92,04-01-2023 19:00,Tuesday,Evening,Bangalore,Auto,Wet,Rainy,Dark - No Light,Signal Jump,Serious
93,04-01-2023 20:00,Thursday,Evening,Hyderabad,Bike,Wet,Storm,Dark - Street Light,Drunk Driving,Fatal
94,04-01-2023 21:00,Tuesday,Afternoon,Hyderabad,Bike,Wet,Foggy,Dark - Street Light,Drunk Driving,Minor
95,04-01-2023 22:00,Tuesday,Afternoon,Delhi,Truck,Wet,Clear,Daylight,Drunk Driving,Minor
96,04-01-2023 23:00,Saturday,Afternoon,Delhi,Cycle,Damaged,Rainy,Dark - Street Light,Mechanical Failure,Minor
97,05-01-2023 00:00,Thursday,Night,Pune,Car,Damaged,Clear,Dark - No Light,Overspeed,Serious
98,05-01-2023 01:00,Saturday,Morning,Kolkata,Auto,Snow,Storm,Daylight,Mechanical Failure,Minor
99,05-01-2023 02:00,Sunday,Morning,Kolkata,Bike,Dry,Rainy,Dark - No Light,Wrong Turn,Minor
100,05-01-2023 03:00,Sunday,Afternoon,Chennai,Auto,Snow,Storm,Dark - No Light,Overspeed,Minor
101,05-01-2023 04:00,Saturday,Morning,Kolkata,Bike,Dry,Foggy,Dark - No Light,Wrong Turn,Serious
102,05-01-2023 05:00,Sunday,Afternoon,Mumbai,Auto,Wet,Storm,Dark - Street Light,Overspeed,Minor
103,05-01-2023 06:00,Thursday,Night,Chennai,Bus,Dry,Storm,Dark - Street Light,Mechanical Failure,Serious
104,05-01-2023 07:00,Monday,Night,Pune,Bike,Snow,Foggy,Dark - No Light,Drunk Driving,Minor
105,05-01-2023 08:00,Saturday,Evening,Delhi,Auto,Snow,Clear,Dark - No Light,Signal Jump,Minor
106,05-01-2023 09:00,Friday,Night,Kolkata,Car,Dry,Foggy,Daylight,Drunk Driving,Minor
107,05-01-2023 10:00,Friday,Afternoon,Bangalore,Bus,Damaged,Foggy,Daylight,Mechanical Failure,Serious
108,05-01-2023 11:00,Tuesday,Night,Delhi,Bus,Wet,Storm,Dark - Street Light,Overspeed,Serious
109,05-01-2023 12:00,Sunday,Evening,Mumbai,Car,Wet,Clear,Dark - Street Light,Drunk Driving,Minor
110,05-01-2023 13:00,Friday,Morning,Delhi,Auto,Snow,Rainy,Daylight,Mechanical Failure,Fatal
111,05-01-2023 14:00,Tuesday,Afternoon,Mumbai,Truck,Damaged,Foggy,Dark - No Light,Wrong Turn,Serious
112,05-01-2023 15:00,Monday,Morning,Mumbai,Car,Dry,Clear,Dark - Street Light,Signal Jump,Serious
113,05-01-2023 16:00,Thursday,Evening,Mumbai,Auto,Wet,Foggy,Dark - No Light,Drunk Driving,Minor
114,05-01-2023 17:00,Thursday,Evening,Pune,Car,Damaged,Foggy,Daylight,Overspeed,Fatal
115,05-01-2023 18:00,Thursday,Evening,Mumbai,Car,Wet,Foggy,Dark - Street Light,Wrong Turn,Minor
116,05-01-2023 19:00,Friday,Morning,Mumbai,Bike,Damaged,Foggy,Dark - Street Light,Mechanical Failure,Serious
117,05-01-2023 20:00,Monday,Morning,Bangalore,Auto,Damaged,Storm,Daylight,Signal Jump,Serious
118,05-01-2023 21:00,Friday,Morning,Chennai,Truck,Snow,Clear,Dark - Street Light,Overspeed,Minor
119,05-01-2023 22:00,Sunday,Morning,Hyderabad,Bike,Wet,Clear,Daylight,Mechanical Failure,Minor
120,05-01-2023 23:00,Friday,Evening,Chennai,Car,Dry,Clear,Dark - Street Light,Mechanical Failure,Fatal
121,06-01-2023 00:00,Monday,Evening,Mumbai,Cycle,Snow,Foggy,Daylight,Drunk Driving,Fatal
122,06-01-2023 01:00,Monday,Afternoon,Bangalore,Car,Snow,Storm,Dark - Street Light,Drunk Driving,Serious
123,06-01-2023 02:00,Sunday,Afternoon,Delhi,Car,Dry,Foggy,Dark - No Light,Overspeed,Fatal
124,06-01-2023 03:00,Monday,Morning,Bangalore,Auto,Snow,Foggy,Dark - No Light,Mechanical Failure,Fatal
125,06-01-2023 04:00,Monday,Night,Mumbai,Auto,Damaged,Clear,Dark - No Light,Drunk Driving,Serious
126,06-01-2023 05:00,Thursday,Night,Bangalore,Bike,Damaged,Foggy,Dark - Street Light,Signal Jump,Serious
127,06-01-2023 06:00,Sunday,Evening,Kolkata,Truck,Wet,Rainy,Dark - Street Light,Signal Jump,Serious
128,06-01-2023 07:00,Wednesday,Evening,Bangalore,Bike,Wet,Foggy,Dark - No Light,Mechanical Failure,Serious
129,06-01-2023 08:00,Wednesday,Evening,Mumbai,Bus,Dry,Rainy,Dark - No Light,Drunk Driving,Minor
130,06-01-2023 09:00,Monday,Afternoon,Pune,Car,Wet,Foggy,Daylight,Overspeed,Serious
131,06-01-2023 10:00,Wednesday,Afternoon,Kolkata,Cycle,Damaged,Storm,Daylight,Overspeed,Serious
132,06-01-2023 11:00,Wednesday,Evening,Bangalore,Car,Dry,Storm,Daylight,Overspeed,Serious
133,06-01-2023 12:00,Monday,Evening,Hyderabad,Car,Dry,Clear,Dark - No Light,Signal Jump,Fatal
134,06-01-2023 13:00,Wednesday,Evening,Hyderabad,Bike,Wet,Foggy,Dark - No Light,Drunk Driving,Serious
135,06-01-2023 14:00,Friday,Night,Bangalore,Cycle,Damaged,Rainy,Dark - No Light,Drunk Driving,Minor
136,06-01-2023 15:00,Tuesday,Afternoon,Pune,Cycle,Dry,Rainy,Daylight,Signal Jump,Minor
137,06-01-2023 16:00,Sunday,Night,Delhi,Cycle,Damaged,Foggy,Dark - Street Light,Overspeed,Serious
138,06-01-2023 17:00,Tuesday,Night,Mumbai,Bike,Damaged,Rainy,Dark - No Light,Overspeed,Minor
139,06-01-2023 18:00,Monday,Evening,Hyderabad,Car,Damaged,Storm,Dark - Street Light,Mechanical Failure,Fatal
140,06-01-2023 19:00,Thursday,Evening,Delhi,Bike,Wet,Rainy,Dark - Street Light,Wrong Turn,Serious
141,06-01-2023 20:00,Sunday,Morning,Bangalore,Auto,Snow,Clear,Dark - Street Light,Drunk Driving,Minor
142,06-01-2023 21:00,Monday,Morning,Delhi,Auto,Snow,Storm,Daylight,Drunk Driving,Minor
143,06-01-2023 22:00,Thursday,Night,Kolkata,Bike,Dry,Storm,Dark - Street Light,Drunk Driving,Serious
144,06-01-2023 23:00,Tuesday,Afternoon,Chennai,Cycle,Damaged,Storm,Dark - No Light,Wrong Turn,Minor
145,07-01-2023 00:00,Monday,Evening,Hyderabad,Car,Wet,Foggy,Daylight,Mechanical Failure,Serious
146,07-01-2023 01:00,Sunday,Evening,Bangalore,Bike,Damaged,Foggy,Dark - No Light,Wrong Turn,Minor
147,07-01-2023 02:00,Sunday,Night,Mumbai,Bike,Damaged,Storm,Dark - No Light,Overspeed,Fatal
148,07-01-2023 03:00,Saturday,Morning,Pune,Bike,Wet,Foggy,Daylight,Overspeed,Minor
149,07-01-2023 04:00,Friday,Afternoon,Kolkata,Bus,Snow,Rainy,Dark - No Light,Drunk Driving,Minor
150,07-01-2023 05:00,Wednesday,Morning,Bangalore,Auto,Damaged,Foggy,Dark - No Light,Signal Jump,Serious
151,07-01-2023 06:00,Thursday,Morning,Mumbai,Cycle,Damaged,Foggy,Daylight,Drunk Driving,Minor
152,07-01-2023 07:00,Saturday,Morning,Pune,Truck,Snow,Storm,Dark - No Light,Signal Jump,Serious
153,07-01-2023 08:00,Wednesday,Morning,Pune,Cycle,Wet,Clear,Dark - Street Light,Wrong Turn,Fatal
154,07-01-2023 09:00,Wednesday,Evening,Bangalore,Truck,Dry,Clear,Dark - No Light,Overspeed,Serious
155,07-01-2023 10:00,Monday,Evening,Kolkata,Bus,Snow,Clear,Dark - Street Light,Signal Jump,Serious
156,07-01-2023 11:00,Wednesday,Morning,Delhi,Bike,Dry,Rainy,Dark - No Light,Wrong Turn,Minor
157,07-01-2023 12:00,Friday,Afternoon,Delhi,Bus,Dry,Foggy,Daylight,Overspeed,Fatal
158,07-01-2023 13:00,Sunday,Night,Pune,Bus,Snow,Clear,Daylight,Signal Jump,Serious
159,07-01-2023 14:00,Saturday,Afternoon,Delhi,Car,Damaged,Storm,Dark - No Light,Drunk Driving,Minor
160,07-01-2023 15:00,Wednesday,Afternoon,Chennai,Auto,Dry,Clear,Daylight,Drunk Driving,Minor
161,07-01-2023 16:00,Monday,Afternoon,Pune,Truck,Dry,Clear,Dark - No Light,Drunk Driving,Serious
162,07-01-2023 17:00,Friday,Morning,Pune,Bike,Wet,Foggy,Daylight,Wrong Turn,Minor
163,07-01-2023 18:00,Tuesday,Evening,Mumbai,Truck,Damaged,Foggy,Dark - Street Light,Drunk Driving,Serious
164,07-01-2023 19:00,Sunday,Afternoon,Delhi,Cycle,Dry,Foggy,Dark - No Light,Mechanical Failure,Serious
165,07-01-2023 20:00,Sunday,Morning,Kolkata,Truck,Wet,Rainy,Dark - Street Light,Overspeed,Serious
166,07-01-2023 21:00,Saturday,Afternoon,Pune,Cycle,Damaged,Rainy,Dark - Street Light,Wrong Turn,Fatal
167,07-01-2023 22:00,Sunday,Afternoon,Kolkata,Auto,Snow,Clear,Dark - No Light,Drunk Driving,Serious
168,07-01-2023 23:00,Wednesday,Morning,Chennai,Cycle,Snow,Foggy,Dark - Street Light,Overspeed,Minor
169,08-01-2023 00:00,Monday,Evening,Mumbai,Truck,Wet,Clear,Dark - No Light,Signal Jump,Fatal
170,08-01-2023 01:00,Sunday,Evening,Bangalore,Truck,Snow,Storm,Dark - Street Light,Drunk Driving,Minor
171,08-01-2023 02:00,Sunday,Night,Kolkata,Cycle,Dry,Storm,Dark - No Light,Overspeed,Fatal
172,08-01-2023 03:00,Tuesday,Morning,Pune,Bus,Damaged,Foggy,Dark - No Light,Mechanical Failure,Fatal
173,08-01-2023 04:00,Tuesday,Night,Chennai,Auto,Dry,Foggy,Daylight,Signal Jump,Fatal
174,08-01-2023 05:00,Thursday,Night,Hyderabad,Car,Dry,Storm,Dark - No Light,Mechanical Failure,Fatal
175,08-01-2023 06:00,Friday,Night,Chennai,Bike,Snow,Foggy,Dark - No Light,Overspeed,Minor
176,08-01-2023 07:00,Wednesday,Evening,Chennai,Truck,Dry,Rainy,Dark - Street Light,Mechanical Failure,Serious
177,08-01-2023 08:00,Sunday,Morning,Mumbai,Bike,Snow,Rainy,Dark - No Light,Overspeed,Minor
178,08-01-2023 09:00,Sunday,Night,Bangalore,Car,Damaged,Foggy,Daylight,Overspeed,Serious
179,08-01-2023 10:00,Monday,Morning,Hyderabad,Bike,Damaged,Storm,Dark - Street Light,Mechanical Failure,Minor
180,08-01-2023 11:00,Thursday,Morning,Delhi,Car,Dry,Clear,Dark - Street Light,Overspeed,Fatal
181,08-01-2023 12:00,Friday,Evening,Delhi,Cycle,Wet,Foggy,Daylight,Drunk Driving,Fatal
182,08-01-2023 13:00,Thursday,Night,Kolkata,Bus,Snow,Foggy,Dark - Street Light,Overspeed,Serious
183,08-01-2023 14:00,Saturday,Night,Chennai,Truck,Snow,Clear,Dark - Street Light,Wrong Turn,Serious
184,08-01-2023 15:00,Friday,Morning,Mumbai,Car,Dry,Foggy,Dark - Street Light,Overspeed,Minor
185,08-01-2023 16:00,Sunday,Afternoon,Mumbai,Bike,Snow,Clear,Dark - Street Light,Wrong Turn,Serious
186,08-01-2023 17:00,Sunday,Evening,Delhi,Truck,Snow,Storm,Daylight,Overspeed,Minor
187,08-01-2023 18:00,Friday,Evening,Kolkata,Bus,Wet,Rainy,Daylight,Overspeed,Serious
188,08-01-2023 19:00,Sunday,Evening,Kolkata,Cycle,Wet,Storm,Dark - Street Light,Mechanical Failure,Serious
189,08-01-2023 20:00,Wednesday,Evening,Kolkata,Truck,Dry,Rainy,Dark - Street Light,Drunk Driving,Serious
190,08-01-2023 21:00,Friday,Night,Hyderabad,Car,Wet,Clear,Daylight,Drunk Driving,Fatal
191,08-01-2023 22:00,Thursday,Night,Bangalore,Bus,Dry,Rainy,Daylight,Signal Jump,Fatal
192,08-01-2023 23:00,Friday,Afternoon,Hyderabad,Bike,Damaged,Storm,Daylight,Mechanical Failure,Minor
193,09-01-2023 00:00,Sunday,Evening,Pune,Bus,Dry,Rainy,Dark - Street Light,Mechanical Failure,Serious
194,09-01-2023 01:00,Wednesday,Evening,Pune,Bus,Damaged,Clear,Dark - Street Light,Drunk Driving,Minor
195,09-01-2023 02:00,Wednesday,Morning,Bangalore,Auto,Dry,Rainy,Dark - No Light,Mechanical Failure,Serious
196,09-01-2023 03:00,Saturday,Night,Delhi,Bus,Snow,Foggy,Daylight,Drunk Driving,Fatal
197,09-01-2023 04:00,Thursday,Evening,Bangalore,Bus,Wet,Storm,Dark - Street Light,Mechanical Failure,Fatal
198,09-01-2023 05:00,Tuesday,Afternoon,Mumbai,Truck,Damaged,Foggy,Daylight,Overspeed,Serious
199,09-01-2023 06:00,Tuesday,Afternoon,Pune,Bike,Dry,Clear,Dark - Street Light,Drunk Driving,Serious
200,09-01-2023 07:00,Friday,Night,Chennai,Truck,Wet,Rainy,Daylight,Drunk Driving,Fatal
201,09-01-2023 08:00,Saturday,Afternoon,Chennai,Truck,Dry,Foggy,Dark - Street Light,Wrong Turn,Fatal
202,09-01-2023 09:00,Monday,Afternoon,Delhi,Car,Wet,Foggy,Dark - No Light,Mechanical Failure,Minor
203,09-01-2023 10:00,Friday,Night,Mumbai,Truck,Wet,Rainy,Dark - No Light,Mechanical Failure,Fatal
204,09-01-2023 11:00,Saturday,Evening,Hyderabad,Auto,Dry,Rainy,Daylight,Drunk Driving,Serious
205,09-01-2023 12:00,Thursday,Evening,Mumbai,Auto,Damaged,Storm,Dark - Street Light,Overspeed,Minor
206,09-01-2023 13:00,Thursday,Afternoon,Chennai,Car,Damaged,Foggy,Dark - Street Light,Overspeed,Serious
207,09-01-2023 14:00,Thursday,Afternoon,Chennai,Cycle,Snow,Foggy,Daylight,Overspeed,Minor
208,09-01-2023 15:00,Thursday,Evening,Pune,Bike,Wet,Clear,Dark - Street Light,Mechanical Failure,Serious
209,09-01-2023 16:00,Thursday,Night,Mumbai,Bike,Snow,Storm,Daylight,Wrong Turn,Fatal
210,09-01-2023 17:00,Saturday,Afternoon,Mumbai,Truck,Snow,Clear,Dark - Street Light,Drunk Driving,Serious
211,09-01-2023 18:00,Saturday,Morning,Chennai,Truck,Dry,Foggy,Daylight,Signal Jump,Minor
212,09-01-2023 19:00,Wednesday,Night,Hyderabad,Cycle,Dry,Clear,Dark - Street Light,Wrong Turn,Serious
213,09-01-2023 20:00,Tuesday,Afternoon,Delhi,Truck,Dry,Foggy,Daylight,Signal Jump,Minor
214,09-01-2023 21:00,Sunday,Afternoon,Kolkata,Bike,Wet,Foggy,Dark - Street Light,Wrong Turn,Serious
215,09-01-2023 22:00,Thursday,Morning,Delhi,Bus,Dry,Clear,Dark - No Light,Overspeed,Fatal
216,09-01-2023 23:00,Monday,Morning,Mumbai,Auto,Dry,Clear,Dark - Street Light,Mechanical Failure,Fatal
217,10-01-2023 00:00,Sunday,Evening,Delhi,Bus,Wet,Rainy,Daylight,Signal Jump,Serious
218,10-01-2023 01:00,Saturday,Night,Chennai,Bus,Wet,Rainy,Dark - No Light,Wrong Turn,Serious
219,10-01-2023 02:00,Monday,Night,Chennai,Bike,Damaged,Rainy,Dark - Street Light,Mechanical Failure,Serious
220,10-01-2023 03:00,Monday,Evening,Mumbai,Bus,Dry,Foggy,Dark - No Light,Signal Jump,Minor
221,10-01-2023 04:00,Monday,Night,Mumbai,Cycle,Dry,Clear,Dark - Street Light,Drunk Driving,Serious
222,10-01-2023 05:00,Wednesday,Night,Kolkata,Car,Dry,Storm,Dark - No Light,Wrong Turn,Serious
223,10-01-2023 06:00,Saturday,Night,Kolkata,Truck,Damaged,Foggy,Daylight,Drunk Driving,Minor
224,10-01-2023 07:00,Monday,Night,Pune,Car,Dry,Storm,Dark - Street Light,Overspeed,Fatal
225,10-01-2023 08:00,Thursday,Night,Mumbai,Auto,Damaged,Clear,Dark - Street Light,Drunk Driving,Serious
226,10-01-2023 09:00,Friday,Morning,Hyderabad,Truck,Snow,Foggy,Daylight,Drunk Driving,Serious
227,10-01-2023 10:00,Monday,Night,Delhi,Bus,Damaged,Storm,Dark - No Light,Wrong Turn,Fatal
228,10-01-2023 11:00,Wednesday,Morning,Mumbai,Auto,Snow,Storm,Daylight,Overspeed,Fatal
229,10-01-2023 12:00,Sunday,Night,Bangalore,Truck,Dry,Rainy,Daylight,Drunk Driving,Minor
230,10-01-2023 13:00,Saturday,Evening,Pune,Cycle,Snow,Rainy,Dark - No Light,Mechanical Failure,Serious
231,10-01-2023 14:00,Wednesday,Afternoon,Bangalore,Cycle,Damaged,Rainy,Daylight,Signal Jump,Serious
